uid,type,Is talkative,Tends to find fault with others,Does a thorough job,"Is depressed, blue","Is original, comes up with new ideas",Is reserved,Is helpful and unselfish with others,Can be somewhat careless,"Is relaxed, handles stress well.",Is curious about many different things,Is full of energy,Starts quarrels with others,Is a reliable worker,Can be tense,"Is ingenious, a deep thinker",Generates a lot of enthusiasm,Has a forgiving nature,Tends to be disorganized,Worries a lot,Has an active imagination,Tends to be quiet,Is generally trusting,Tends to be lazy,"Is emotionally stable, not easily upset",Is inventive,Has an assertive personality,Can be cold and aloof,Perseveres until the task is finished,Can be moody,"Values artistic, aesthetic experiences","Is sometimes shy, inhibited",Is considerate and kind to almost everyone,Does things efficiently,Remains calm in tense situations,Prefers work that is routine,"Is outgoing, sociable",Is sometimes rude to others,Makes plans and follows through with them,Gets nervous easily,"Likes to reflect, play with ideas",Has few artistic interests,Likes to cooperate with others,Is easily distracted,"Is sophisticated in art, music, or literature"
u00,pre,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,Disagree Strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little
u01,pre,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little
u02,pre,Disagree a little,Agree a little,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree
u03,pre,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little
u04,pre,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Disagree Strongly,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree
u05,pre,Agree a little,Neither agree nor disagree,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree a little,Agree strongly,Disagree Strongly,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little
u08,pre,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree Strongly
u09,pre,Disagree a little,Disagree Strongly,Agree a little,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Disagree Strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree Strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little
u10,pre,Disagree Strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Disagree a little,Disagree Strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree Strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree Strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Disagree Strongly,Disagree a little,Neither agree nor disagree
u12,pre,Disagree Strongly,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little
u13,pre,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little
u15,pre,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little
u16,pre,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree Strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Agree a little,Disagree a little
u17,pre,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree strongly
u18,pre,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree Strongly,Disagree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly
u19,pre,Disagree Strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree
u20,pre,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little
u22,pre,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree Strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little
u24,pre,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little
u27,pre,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little
u30,pre,Agree strongly,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little
u31,pre,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree Strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree Strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly
u32,pre,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little
u33,pre,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Disagree Strongly,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,Disagree Strongly,Neither agree nor disagree,Agree strongly,Disagree Strongly,Disagree a little,Agree strongly,Agree strongly
