uid,type,I lead a purposeful and meaningful life,My social relationships are supportive and rewarding,I am engaged and interested in my daily activities,I actively contribute to the happiness and well-being of others,I am competent and capable in the activities that are important to me,I am a good person and live a good life,I am optimistic about my future,People respect me
u01,pre,Mixed or neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Mixed or neither agree nor disagree,Agree
u02,pre,Agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Strongly agree
u03,pre,Agree,Disagree,Disagree,Mixed or neither agree nor disagree,Slightly agree,Agree,Slightly agree,Mixed or neither agree nor disagree
u04,pre,Slightly disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly agree
u05,pre,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u07,pre,Strongly agree,Slightly agree,Agree,Slightly agree,Strongly agree, Strongly agree,Strongly agree,Slightly agree
u09,pre,Slightly agree, Mixed or neither agree nor disagree,Agree,Agree,Agree, Strongly agree,Strongly agree,Slightly agree
u10,pre,Agree,Slightly disagree,Agree,Strongly disagree,Strongly agree,Mixed or neither agree nor disagree,Agree,Agree
u12,pre,Strongly agree,Agree,Slightly agree,Agree,Strongly agree, Strongly agree,Strongly agree,Mixed or neither agree nor disagree
u13,pre,Agree,Agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Agree,Strongly agree,Mixed or neither agree nor disagree
u14,pre,Strongly agree,Strongly agree,Strongly agree,Agree,Agree, Strongly agree,Agree,Agree
u15,pre,Slightly agree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Agree,Agree,Agree,Agree
u16,pre,Agree,Agree,Strongly agree,Slightly agree,Slightly disagree, Strongly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree
u17,pre,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree, Strongly agree,Slightly disagree,Mixed or neither agree nor disagree
u18,pre,Agree,Strongly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree
u19,pre,Agree,Agree,Agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree
u20,pre,Strongly agree,Strongly agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Mixed or neither agree nor disagree
u22,pre,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Strongly agree
u23,pre,Slightly agree, Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Slightly disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree
u24,pre,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree, Strongly agree,Strongly agree,Mixed or neither agree nor disagree
u27,pre,Mixed or neither agree nor disagree, Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree
u30,pre,Strongly agree,Strongly agree,Agree,Agree,Strongly agree, Strongly agree,Strongly agree,Slightly agree
u31,pre,Slightly disagree,Disagree,Disagree,Strongly disagree,Mixed or neither agree nor disagree, Strongly disagree,Strongly disagree,Disagree
u32,pre,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree, Strongly agree,Strongly agree,Agree
u33,pre,Disagree,Slightly disagree,Disagree,Agree,Disagree,Slightly agree,Slightly agree,Agree
u34,pre,Agree,Agree,Slightly agree,Agree,Agree, Strongly agree,Strongly agree,Agree
u35,pre,Strongly agree,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
u36,pre,Agree,Agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
u39,pre,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree
u42,pre,Slightly agree,Agree,Agree,Agree,Mixed or neither agree nor disagree, Strongly agree,Agree,Slightly agree
u43,pre,Agree,Agree,Agree,Slightly agree,Agree, Strongly agree,Agree,Slightly agree
u44,pre,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u45,pre,Slightly agree,Strongly agree,Mixed or neither agree nor disagree,Slightly agree,Agree, Strongly agree,Strongly agree,Strongly agree
u46,pre,Slightly agree, Mixed or neither agree nor disagree,Slightly agree,Agree,Strongly agree,Slightly agree,Agree,Mixed or neither agree nor disagree
u49,pre,Strongly agree,Agree,Agree,Slightly agree,Agree, Strongly agree,Strongly agree,Strongly agree
u50,pre,Agree,Agree,Agree,Slightly agree,Agree, Strongly agree,Strongly agree,Slightly agree
u52,pre,Slightly disagree,Disagree,Mixed or neither agree nor disagree,Slightly disagree,Strongly agree,Slightly agree,Agree,Mixed or neither agree nor disagree
u53,pre,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
u56,pre,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Agree
u57,pre,Agree,Agree,Strongly agree,Agree,Agree, Strongly agree,Agree,Agree
u58,pre,Strongly agree,Slightly agree,Strongly agree,Agree,Strongly agree, Strongly agree,Strongly agree,Slightly agree
u59,pre,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree
u00,post,Agree,Slightly agree,Agree,Agree,Agree,Agree,Slightly agree,Slightly agree
u01,post,Slightly agree,Slightly agree,Agree,Slightly agree,Strongly agree,Agree,Agree,Agree
u02,post,Slightly agree,Agree,Mixed or neither agree nor disagree,Agree,Slightly agree,Agree,Slightly agree,Strongly agree
u03,post,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly disagree
u04,post,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly disagree,Slightly agree
u05,post,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
u07,post,Agree,Agree,Slightly agree,Slightly agree,Strongly agree,Agree,Agree,Agree
u09,post,Agree,Slightly agree,Strongly agree,Slightly agree,Agree, Strongly agree,Agree,Slightly agree
u10,post,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Mixed or neither agree nor disagree,Agree,Agree
u14,post,Strongly agree,Strongly agree,Strongly agree,Agree,Agree, Strongly agree,Strongly agree,Agree
u15,post,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u16,post,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree, Strongly agree,Slightly agree,Mixed or neither agree nor disagree
u17,post,Slightly disagree,Agree,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree, Strongly agree,Mixed or neither agree nor disagree,Strongly agree
u19,post,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree
u20,post,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,Agree,Mixed or neither agree nor disagree, Strongly agree,Agree,Mixed or neither agree nor disagree
u23,post,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree
u24,post,Agree, Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree,Strongly agree, Strongly agree,Strongly agree,Agree
u27,post,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree
u30,post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree, Strongly agree,Strongly agree,Strongly agree
u31,post,Slightly agree, Mixed or neither agree nor disagree,Disagree,Mixed or neither agree nor disagree,Slightly agree, Strongly agree,Strongly agree,Disagree
u32,post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree, Strongly agree,Strongly agree,Strongly agree
u33,post,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree
u34,post,Strongly agree,Disagree,Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree, Strongly disagree,Strongly disagree,Disagree
u35,post,Agree,Agree,Mixed or neither agree nor disagree,Agree,Slightly agree,Agree,Agree,Slightly agree
u36,post,Agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
u42,post,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
u43,post,Agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Agree,Slightly agree
u44,post,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree
u45,post,Strongly agree,Agree,Slightly agree,Agree,Agree, Strongly agree,Agree,Agree
u46,post,Strongly agree,Agree,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Mixed or neither agree nor disagree
u47,post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree, Strongly agree,Slightly agree,Strongly agree
u49,post,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree, Strongly agree,Strongly agree,Strongly agree
u51,post,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u52,post,Mixed or neither agree nor disagree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Strongly agree,Agree,Disagree,Mixed or neither agree nor disagree
u53,post,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u56,post,Slightly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
u59,post,Agree,Agree,Slightly agree,Agree,Strongly agree, Strongly agree,Strongly agree,Agree
